EL1: Electronic Ladder,A1: Melano KF No DNAse 4,B1: Melano KF No DNAse 6,C1: Melano KF Yes DNAse 1,D1: Melano KF Yes DNAse 3,E1: Melano D No DNAse 1,F1: Melano D No DNAse 5,G1: Melano D Yes DNAse 2,H1: Melano D Yes DNAse 5
25.3254,0.05431318,0.09470415,0,0.0289557,0,0,0.3288121,0.01851749
30.42628,0,0.05469513,0,0.09483171,0.1072617,0,0.2846541,0
36.0128,0,0.03779936,0.02422094,0.1071279,0.2047696,0,0.2323222,0.07678127
42.3921,0.01142216,0.02954149,0.06135559,0.07847452,0.3289347,0,0.2383065,0.02589464
49.75721,0,0.08590555,0.104846,0.08436704,0.3492112,0,0.1819329,0
58.11675,0,0.06830597,0.1435094,0.06042933,0.3639445,0.04106808,0.1484251,0
67.09781,0.03386736,0.1258059,0.08976507,0,0.2370281,0.1299462,0.06752253,0
76.59318,0,0.1339645,0.1297684,0,0.2091107,0.2003999,0.1117291,0
86.53235,0,0.09979057,0.1380568,0,0.06830454,0.1419129,0.06808376,0.02400541
96.71154,0.04482365,0.09939671,0.229372,0.07899427,0.05304766,0.1732688,0.09007502,0.1991405
107.3292,0.04660463,0.07988071,0.1158719,0.09925413,0.01655245,0.1010647,0.1532292,0.2603683
118.0085,0.03257418,0,0.0682497,0.08677626,0.005198479,0.08082581,0.1015077,0.2524748
128.5506,0.05982113,0,0.08965302,0.02182865,0,0,0.2149191,0.3801398
138.9781,0.09126043,0.03030586,0.01130104,0.02645731,0.01710224,0,0.2655606,0.4041615
148.6813,0.04547024,0,0,0.001455307,0,0,0.2447634,0.4494457
158.0438,0,0,0.03644943,0,0.05414391,0.001598835,0.2532024,0.4411554
165.8421,0,0,0,0,0.1262565,0,0.3053813,0.3736157
172.4071,0,0,0.05158758,0.05135822,0.1648378,0,0.2907515,0.2679682
177.1938,0,0,0.1755376,0.09008455,0.1249828,0,0.1608391,0.2844238
180.721,0,0,0.2593374,0.1204953,0.1704926,0,0.04754019,0.2511001
182.7976,0,0,0.1594543,0,0.08435011,0,0,0.2470956
184.0034,0.05777931,0,0.1636577,0.0276742,0.1196389,0.04868317,0,0.2218914
183.7612,0.1120305,0,0.1273856,0,0.1753435,0,0,0.2345433
182.0963,0.1008391,0.02536106,0,0.01901007,0.2266269,0,0.003262043,0.2581034
179.2551,0.06882238,0.001572132,0,0,0.2351918,0,0,0.2293768
175.4089,0,0,0.03652763,0,0.3241291,0,0,0.1619473
169.8648,0,0,0,0,0.2762904,0,0.1551399,0.09897518
163.6694,0,0.002042294,0,0,0.1445246,0,0.250916,0
156.3133,0,0.0292511,0.05020046,0.04759026,0,0,0.2894769,0.008065701
148.2467,0,0,0.05178642,0,0.02055693,0,0.3235841,0
139.6879,0,0,0.04379845,0,0,0,0.2966695,0.00576067
131.4263,0,0,0.03776217,0.0766139,0.0179491,0,0.2601533,0
122.399,0,0,0.03687811,0.06143332,0.1013336,0,0.2212081,0.03093815
113.4277,0,0,0,0,0.1912532,0,0.1697788,0.02930641
104.7552,0,0,0,0,0.1531396,0,0.1183877,0.07377672
96.02428,0,0,0,0,0.1748109,0,0.08892536,0.09504271
87.56607,0,0,0.05749226,0,0.03711414,0,0.07865477,0.151566
79.93262,0,0.01662016,0,0,0.03045225,0,0.05194426,0.1654758
72.51277,0,0.07322264,0,0.02898788,0.1130867,0,0,0.1927433
65.42696,0,0.007491589,0.0127573,0.05928993,0.2029328,0,0,0.155509
58.7887,0,0.0516839,0.002470016,0.1546769,0.2304082,0,0,0.1582432
53.03083,0,0,0,0.1050816,0.2930775,0,0,0.1252899
47.41869,0,0,0,0.1056423,0.2656322,0,0,0.1648903
42.51573,0,0,0,0.02448082,0.2667103,0,0.009347916,0.1721592
38.00323,0,0,0,0,0.1433611,0,0.1958604,0.1844978
34.11943,0,0,0,0.02952814,0.1256447,0,0.2090158,0.1523972
30.83343,0,0,0,0.06224728,0.0387454,0,0.228055,0.1675544
28.08009,0,0,0,0,0,1.431462,0.2001877,0.2243733
25.57552,0,0.01339102,0,0,0,3.889749,0.09133482,0.1989665
23.51604,0,0,0,0,0,7.601862,0.04427671,0.3304014
21.80286,0,0,0.0216012,0,0,12.76636,0,0.3731456
20.47512,0,0,0,0,0,19.97095,0,0.3922243
19.14278,0,0,0,0.04950523,0.01897717,29.79573,0,0.3937774
18.04222,0,0,0,0,0.1122603,42.4535,0,0.3113031
16.84309,0,0,0.01969814,0,0.1239471,58.24755,0.02814627,0.1817031
16.03548,0.2860374,0,0.0199337,0.03854084,0.122314,77.39357,0,0.1364098
